Date,Product Name,Category,Units Sold,Price,Revenue,Discount,Units Returned,Location,Platform,Drugs,Sale Price,Sold Price,After Unit Returned
2/10/2020,Ashwagandha,Herbal,132,33.02,4358.64,0.22,1,USA,iHerb,ASHWAGANDHA,4358.64,3399.7392,3373.9836
2/10/2020,Melatonin,Sleep Aid,146,15.54,2268.84,0.11,0,Canada,Amazon,MELATONIN,2268.84,2019.2676,2019.2676
2/10/2020,Biotin,Vitamin,142,24.61,3494.62,0.23,2,UK,iHerb,BIOTIN,3494.62,2690.8574,2652.958
2/10/2020,Green Tea Extract,Fat Burner,162,58.14,9418.68,0.18,1,UK,Walmart,GREEN TEA EXTRACT,9418.68,7723.3176,7675.6428
2/10/2020,Iron Supplement,Mineral,163,53.64,8743.32,0.03,2,USA,Walmart,IRON SUPPLEMENT,8743.32,8481.0204,8376.9588
2/10/2020,Electrolyte Powder,Hydration,151,22.09,3335.59,0,1,USA,Amazon,ELECTROLYTE POWDER,3335.59,3335.59,3313.5
2/17/2020,Whey Protein,Protein,143,24.86,3554.98,0.07,2,Canada,iHerb,WHEY PROTEIN,3554.98,3306.1314,3259.8918
2/17/2020,Vitamin C,Vitamin,165,39.66,6543.9,0.22,0,Canada,iHerb,VITAMIN C,6543.9,5104.242,5104.242
2/17/2020,Fish Oil,Omega,129,49.73,6415.17,0.01,1,Canada,Walmart,FISH OIL,6415.17,6351.0183,6301.7856
2/17/2020,Multivitamin,Vitamin,151,51.57,7787.07,0.15,0,USA,Amazon,MULTIVITAMIN,7787.07,6619.0095,6619.0095
2/17/2020,Pre-Workout,Performance,131,43.46,5693.26,0.21,3,USA,Walmart,PRE-WORKOUT,5693.26,4497.6754,4394.6752
2/17/2020,BCAA,Amino Acid,152,31.52,4791.04,0.08,1,UK,Amazon,BCAA,4791.04,4407.7568,4378.7584
2/17/2020,Creatine,Performance,160,54.63,8740.8,0.11,2,UK,Amazon,CREATINE,8740.8,7779.312,7682.0706
2/17/2020,Zinc,Mineral,155,45.13,6995.15,0.06,1,USA,iHerb,ZINC,6995.15,6575.441,6533.0188
2/17/2020,Collagen Peptides,Protein,132,34.38,4538.16,0.16,3,Canada,Walmart,COLLAGEN PEPTIDES,4538.16,3812.0544,3725.4168
2/17/2020,Magnesium,Mineral,154,35.31,5437.74,0.16,0,USA,Amazon,MAGNESIUM,5437.74,4567.7016,4567.7016
2/17/2020,Ashwagandha,Herbal,141,33.62,4740.42,0.01,0,USA,iHerb,ASHWAGANDHA,4740.42,4693.0158,4693.0158
2/17/2020,Melatonin,Sleep Aid,144,19.8,2851.2,0.15,1,USA,iHerb,MELATONIN,2851.2,2423.52,2406.69
2/17/2020,Biotin,Vitamin,139,10.28,1428.92,0,0,USA,Walmart,BIOTIN,1428.92,1428.92,1428.92
2/17/2020,Green Tea Extract,Fat Burner,117,26.94,3151.98,0.2,1,Canada,Amazon,GREEN TEA EXTRACT,3151.98,2521.584,2500.032
2/17/2020,Iron Supplement,Mineral,150,56.59,8488.5,0.1,0,UK,Amazon,IRON SUPPLEMENT,8488.5,7639.65,7639.65
2/17/2020,Electrolyte Powder,Hydration,154,27.26,4198.04,0.13,3,Canada,Amazon,ELECTROLYTE POWDER,4198.04,3652.2948,3581.1462
2/24/2020,Whey Protein,Protein,150,59.64,8946,0.03,1,UK,Walmart,WHEY PROTEIN,8946,8677.62,8619.7692
2/24/2020,Vitamin C,Vitamin,146,30.55,4460.3,0.23,2,UK,iHerb,VITAMIN C,4460.3,3434.431,3387.384
2/24/2020,Fish Oil,Omega,154,51.19,7883.26,0.24,3,USA,Amazon,FISH OIL,7883.26,5991.2776,5874.5644
2/24/2020,Multivitamin,Vitamin,123,12.98,1596.54,0.15,2,USA,Walmart,MULTIVITAMIN,1596.54,1357.059,1334.993
2/24/2020,Pre-Workout,Performance,133,32.81,4363.73,0.09,0,Canada,Amazon,PRE-WORKOUT,4363.73,3970.9943,3970.9943
2/24/2020,BCAA,Amino Acid,147,13.55,1991.85,0.02,1,UK,Amazon,BCAA,1991.85,1952.013,1938.734
2/24/2020,Creatine,Performance,175,43.93,7687.75,0.09,2,UK,Amazon,CREATINE,7687.75,6995.8525,6915.8999
2/24/2020,Zinc,Mineral,170,53.68,9125.6,0.18,0,UK,iHerb,ZINC,9125.6,7482.992,7482.992
2/24/2020,Collagen Peptides,Protein,169,36.7,6202.3,0.04,0,Canada,iHerb,COLLAGEN PEPTIDES,6202.3,5954.208,5954.208
2/24/2020,Magnesium,Mineral,147,34.3,5042.1,0.14,0,UK,iHerb,MAGNESIUM,5042.1,4336.206,4336.206
2/24/2020,Ashwagandha,Herbal,133,27.16,3612.28,0.18,2,UK,iHerb,ASHWAGANDHA,3612.28,2962.0696,2917.5272
2/24/2020,Melatonin,Sleep Aid,164,31.5,5166,0.17,1,Canada,iHerb,MELATONIN,5166,4287.78,4261.635
2/24/2020,Biotin,Vitamin,143,32.32,4621.76,0.2,2,USA,iHerb,BIOTIN,4621.76,3697.408,3645.696
2/24/2020,Green Tea Extract,Fat Burner,147,39.11,5749.17,0.09,2,UK,iHerb,GREEN TEA EXTRACT,5749.17,5231.7447,5160.5645
2/24/2020,Iron Supplement,Mineral,158,28.73,4539.34,0.04,1,UK,Amazon,IRON SUPPLEMENT,4539.34,4357.7664,4330.1856
2/24/2020,Electrolyte Powder,Hydration,135,27.29,3684.15,0.04,0,Canada,Amazon,ELECTROLYTE POWDER,3684.15,3536.784,3536.784
3/2/2020,Whey Protein,Protein,155,27.03,4189.65,0.02,1,Canada,Amazon,WHEY PROTEIN,4189.65,4105.857,4079.3676
3/2/2020,Vitamin C,Vitamin,143,40.29,5761.47,0.09,0,Canada,iHerb,VITAMIN C,5761.47,5242.9377,5242.9377
3/2/2020,Fish Oil,Omega,157,34.28,5381.96,0.01,1,Canada,iHerb,FISH OIL,5381.96,5328.1404,5294.2032
3/2/2020,Multivitamin,Vitamin,184,11.95,2198.8,0.01,1,UK,iHerb,MULTIVITAMIN,2198.8,2176.812,2164.9815
3/2/2020,Pre-Workout,Performance,136,47.81,6502.16,0.11,1,USA,Walmart,PRE-WORKOUT,6502.16,5786.9224,5744.3715
3/2/2020,BCAA,Amino Acid,169,57.8,9768.2,0.08,3,Canada,Amazon,BCAA,9768.2,8986.744,8827.216
3/2/2020,Creatine,Performance,154,59.2,9116.8,0.07,4,Canada,iHerb,CREATINE,9116.8,8478.624,8258.4
3/2/2020,Zinc,Mineral,146,27.02,3944.92,0.14,0,UK,Amazon,ZINC,3944.92,3392.6312,3392.6312
3/2/2020,Collagen Peptides,Protein,152,48.1,7311.2,0.21,1,UK,Amazon,COLLAGEN PEPTIDES,7311.2,5775.848,5737.849
3/2/2020,Magnesium,Mineral,143,19.73,2821.39,0.01,1,USA,Amazon,MAGNESIUM,2821.39,2793.1761,2773.6434
3/2/2020,Ashwagandha,Herbal,152,39.02,5931.04,0.03,1,USA,Amazon,ASHWAGANDHA,5931.04,5753.1088,5715.2594
3/2/2020,Melatonin,Sleep Aid,154,30.09,4633.86,0.25,3,Canada,Amazon,MELATONIN,4633.86,3475.395,3407.6925
3/2/2020,Biotin,Vitamin,154,41.03,6318.62,0.05,1,UK,Amazon,BIOTIN,6318.62,6002.689,5963.7105
3/2/2020,Green Tea Extract,Fat Burner,151,58.2,8788.2,0.23,2,USA,Walmart,GREEN TEA EXTRACT,8788.2,6766.914,6677.286
3/2/2020,Iron Supplement,Mineral,151,16.53,2496.03,0.2,0,UK,Amazon,IRON SUPPLEMENT,2496.03,1996.824,1996.824
3/2/2020,Electrolyte Powder,Hydration,161,53.85,8669.85,0.24,0,USA,Amazon,ELECTROLYTE POWDER,8669.85,6589.086,6589.086
3/9/2020,Whey Protein,Protein,149,34.17,5091.33,0.22,2,USA,Walmart,WHEY PROTEIN,5091.33,3971.2374,3917.9322
3/9/2020,Vitamin C,Vitamin,145,20.16,2923.2,0.19,1,Canada,iHerb,VITAMIN C,2923.2,2367.792,2351.4624
3/9/2020,Fish Oil,Omega,150,38.86,5829,0.22,4,UK,Walmart,FISH OIL,5829,4546.62,4425.3768
3/9/2020,Multivitamin,Vitamin,147,48.23,7089.81,0.14,4,UK,Walmart,MULTIVITAMIN,7089.81,6097.2366,5931.3254
3/9/2020,Pre-Workout,Performance,138,52.7,7272.6,0.11,3,Canada,Amazon,PRE-WORKOUT,7272.6,6472.614,6331.905
3/9/2020,BCAA,Amino Acid,168,54.17,9100.56,0.11,2,Canada,Amazon,BCAA,9100.56,8099.4984,8003.0758
3/9/2020,Creatine,Performance,154,10.96,1687.84,0.12,2,USA,Amazon,CREATINE,1687.84,1485.2992,1466.0096
3/9/2020,Zinc,Mineral,158,16.72,2641.76,0.07,1,USA,iHerb,ZINC,2641.76,2456.8368,2441.2872
3/9/2020,Collagen Peptides,Protein,162,20.54,3327.48,0.24,0,UK,Amazon,COLLAGEN PEPTIDES,3327.48,2528.8848,2528.8848
3/9/2020,Magnesium,Mineral,163,10.72,1747.36,0.18,3,UK,iHerb,MAGNESIUM,1747.36,1432.8352,1406.464
3/9/2020,Ashwagandha,Herbal,159,47.67,7579.53,0.19,2,Canada,iHerb,ASHWAGANDHA,7579.53,6139.4193,6062.1939
3/9/2020,Melatonin,Sleep Aid,160,40.68,6508.8,0.02,1,UK,Walmart,MELATONIN,6508.8,6378.624,6338.7576
3/9/2020,Biotin,Vitamin,128,30.36,3886.08,0.02,1,USA,Walmart,BIOTIN,3886.08,3808.3584,3778.6056
3/9/2020,Green Tea Extract,Fat Burner,132,57.38,7574.16,0.02,3,USA,Amazon,GREEN TEA EXTRACT,7574.16,7422.6768,7253.9796
3/9/2020,Iron Supplement,Mineral,151,13.84,2089.84,0.13,2,Canada,iHerb,IRON SUPPLEMENT,2089.84,1818.1608,1794.0792
3/9/2020,Electrolyte Powder,Hydration,158,13.65,2156.7,0.1,1,Canada,Amazon,ELECTROLYTE POWDER,2156.7,1941.03,1928.745
3/16/2020,Whey Protein,Protein,140,50.17,7023.8,0.23,1,Canada,iHerb,WHEY PROTEIN,7023.8,5408.326,5369.6951
3/16/2020,Vitamin C,Vitamin,169,33.82,5715.58,0.06,2,Canada,Walmart,VITAMIN C,5715.58,5372.6452,5309.0636
3/16/2020,Fish Oil,Omega,145,16.15,2341.75,0.22,1,Canada,Amazon,FISH OIL,2341.75,1826.565,1813.968
3/16/2020,Multivitamin,Vitamin,148,41.24,6103.52,0.02,2,UK,Amazon,MULTIVITAMIN,6103.52,5981.4496,5900.6192
3/16/2020,Pre-Workout,Performance,140,51.13,7158.2,0.2,1,USA,Walmart,PRE-WORKOUT,7158.2,5726.56,5685.656
3/16/2020,BCAA,Amino Acid,151,48.77,7364.27,0.07,1,UK,Amazon,BCAA,7364.27,6848.7711,6803.415
3/16/2020,Creatine,Performance,142,41.48,5890.16,0.01,2,Canada,Amazon,CREATINE,5890.16,5831.2584,5749.128
3/16/2020,Zinc,Mineral,143,35.56,5085.08,0.01,1,USA,Amazon,ZINC,5085.08,5034.2292,4999.0248
3/16/2020,Collagen Peptides,Protein,158,51.97,8211.26,0,1,Canada,iHerb,COLLAGEN PEPTIDES,8211.26,8211.26,8159.29
3/16/2020,Magnesium,Mineral,159,15.09,2399.31,0.09,1,Canada,iHerb,MAGNESIUM,2399.31,2183.3721,2169.6402
3/16/2020,Ashwagandha,Herbal,164,49.45,8109.8,0.22,1,Canada,iHerb,ASHWAGANDHA,8109.8,6325.644,6287.073
3/16/2020,Melatonin,Sleep Aid,170,58.2,9894,0.02,2,Canada,Amazon,MELATONIN,9894,9696.12,9582.048
3/16/2020,Biotin,Vitamin,150,41.64,6246,0.18,0,UK,iHerb,BIOTIN,6246,5121.72,5121.72
3/16/2020,Green Tea Extract,Fat Burner,136,43.32,5891.52,0.24,2,UK,Walmart,GREEN TEA EXTRACT,5891.52,4477.5552,4411.7088
3/16/2020,Iron Supplement,Mineral,178,24.9,4432.2,0.03,3,UK,iHerb,IRON SUPPLEMENT,4432.2,4299.234,4226.775
3/16/2020,Electrolyte Powder,Hydration,155,28,4340,0.24,1,USA,Amazon,ELECTROLYTE POWDER,4340,3298.4,3277.12
3/23/2020,Whey Protein,Protein,148,20.44,3025.12,0.09,1,UK,Walmart,WHEY PROTEIN,3025.12,2752.8592,2734.2588
3/23/2020,Vitamin C,Vitamin,147,52.52,7720.44,0.05,2,Canada,Amazon,VITAMIN C,7720.44,7334.418,7234.63
3/23/2020,Fish Oil,Omega,149,20.79,3097.71,0.17,2,Canada,iHerb,FISH OIL,3097.71,2571.0993,2536.5879
3/23/2020,Multivitamin,Vitamin,142,42.58,6046.36,0.18,1,Canada,Amazon,MULTIVITAMIN,6046.36,4958.0152,4923.0996
3/23/2020,Pre-Workout,Performance,155,45.66,7077.3,0.05,3,Canada,Walmart,PRE-WORKOUT,7077.3,6723.435,6593.304
3/23/2020,BCAA,Amino Acid,142,12.9,1831.8,0.03,1,UK,Walmart,BCAA,1831.8,1776.846,1764.333
3/23/2020,Creatine,Performance,141,10.73,1512.93,0.09,1,UK,iHerb,CREATINE,1512.93,1376.7663,1367.002
3/23/2020,Zinc,Mineral,147,30.21,4440.87,0.13,2,UK,Amazon,ZINC,4440.87,3863.5569,3810.9915
3/23/2020,Collagen Peptides,Protein,156,48.7,7597.2,0.19,1,Canada,Amazon,COLLAGEN PEPTIDES,7597.2,6153.732,6114.285
3/23/2020,Magnesium,Mineral,162,23.28,3771.36,0,1,UK,iHerb,MAGNESIUM,3771.36,3771.36,3748.08
3/23/2020,Ashwagandha,Herbal,160,27.4,4384,0.09,0,USA,Amazon,ASHWAGANDHA,4384,3989.44,3989.44
3/23/2020,Melatonin,Sleep Aid,143,58.71,8395.53,0.21,0,Canada,iHerb,MELATONIN,8395.53,6632.4687,6632.4687
3/23/2020,Biotin,Vitamin,168,49.02,8235.36,0.11,1,USA,Amazon,BIOTIN,8235.36,7329.4704,7285.8426
3/23/2020,Green Tea Extract,Fat Burner,143,21.41,3061.63,0.06,1,Canada,Amazon,GREEN TEA EXTRACT,3061.63,2877.9322,2857.8068
3/23/2020,Iron Supplement,Mineral,159,12.89,2049.51,0.24,4,USA,Amazon,IRON SUPPLEMENT,2049.51,1557.6276,1518.442
3/23/2020,Electrolyte Powder,Hydration,151,13.78,2080.78,0.09,1,UK,Amazon,ELECTROLYTE POWDER,2080.78,1893.5098,1880.97
3/30/2020,Whey Protein,Protein,138,41.12,5674.56,0.2,1,Canada,iHerb,WHEY PROTEIN,5674.56,4539.648,4506.752
3/30/2020,Vitamin C,Vitamin,135,41.8,5643,0.1,2,Canada,Amazon,VITAMIN C,5643,5078.7,5003.46
3/30/2020,Fish Oil,Omega,141,55.87,7877.67,0.07,1,USA,Amazon,FISH OIL,7877.67,7326.2331,7274.274
3/30/2020,Multivitamin,Vitamin,168,13.11,2202.48,0.04,0,UK,Amazon,MULTIVITAMIN,2202.48,2114.3808,2114.3808
3/30/2020,Pre-Workout,Performance,155,16.71,2590.05,0.24,1,USA,Amazon,PRE-WORKOUT,2590.05,1968.438,1955.7384
3/30/2020,BCAA,Amino Acid,140,43.98,6157.2,0.02,1,UK,Walmart,BCAA,6157.2,6034.056,5990.9556
